计算点与点的相似度
( 0 , 0 )0
( 0 , 1 )488
( 0 , 2 )411
( 0 , 3 )439
( 0 , 4 )442
( 0 , 5 )378
( 0 , 6 )394
( 0 , 7 )467
( 0 , 8 )302
( 0 , 9 )297
( 0 , 10 )307
( 0 , 11 )358
( 0 , 12 )355
( 0 , 13 )357
( 0 , 14 )358
( 0 , 15 )359
( 1 , 0 )488
( 1 , 1 )0
( 1 , 2 )255
( 1 , 3 )601
( 1 , 4 )604
( 1 , 5 )668
( 1 , 6 )842
( 1 , 7 )601
( 1 , 8 )732
( 1 , 9 )749
( 1 , 10 )759
( 1 , 11 )338
( 1 , 12 )335
( 1 , 13 )333
( 1 , 14 )334
( 1 , 15 )341
( 2 , 0 )411
( 2 , 1 )255
( 2 , 2 )0
( 2 , 3 )352
( 2 , 4 )357
( 2 , 5 )421
( 2 , 6 )597
( 2 , 7 )838
( 2 , 8 )509
( 2 , 9 )520
( 2 , 10 )528
( 2 , 11 )571
( 2 , 12 )568
( 2 , 13 )566
( 2 , 14 )567
( 2 , 15 )574
( 3 , 0 )439
( 3 , 1 )601
( 3 , 2 )352
( 3 , 3 )0
( 3 , 4 )9
( 3 , 5 )73
( 3 , 6 )249
( 3 , 7 )490
( 3 , 8 )363
( 3 , 9 )378
( 3 , 10 )384
( 3 , 11 )759
( 3 , 12 )756
( 3 , 13 )754
( 3 , 14 )755
( 3 , 15 )752
( 4 , 0 )442
( 4 , 1 )604
( 4 , 2 )357
( 4 , 3 )9
( 4 , 4 )0
( 4 , 5 )70
( 4 , 6 )246
( 4 , 7 )493
( 4 , 8 )358
( 4 , 9 )375
( 4 , 10 )383
( 4 , 11 )758
( 4 , 12 )757
( 4 , 13 )755
( 4 , 14 )756
( 4 , 15 )751
( 5 , 0 )378
( 5 , 1 )668
( 5 , 2 )421
( 5 , 3 )73
( 5 , 4 )70
( 5 , 5 )0
( 5 , 6 )176
( 5 , 7 )423
( 5 , 8 )298
( 5 , 9 )315
( 5 , 10 )325
( 5 , 11 )702
( 5 , 12 )699
( 5 , 13 )701
( 5 , 14 )702
( 5 , 15 )703
( 6 , 0 )394
( 6 , 1 )842
( 6 , 2 )597
( 6 , 3 )249
( 6 , 4 )246
( 6 , 5 )176
( 6 , 6 )0
( 6 , 7 )257
( 6 , 8 )132
( 6 , 9 )149
( 6 , 10 )159
( 6 , 11 )728
( 6 , 12 )725
( 6 , 13 )727
( 6 , 14 )728
( 6 , 15 )729
( 7 , 0 )467
( 7 , 1 )601
( 7 , 2 )838
( 7 , 3 )490
( 7 , 4 )493
( 7 , 5 )423
( 7 , 6 )257
( 7 , 7 )0
( 7 , 8 )359
( 7 , 9 )382
( 7 , 10 )390
( 7 , 11 )495
( 7 , 12 )492
( 7 , 13 )494
( 7 , 14 )495
( 7 , 15 )496
( 8 , 0 )302
( 8 , 1 )732
( 8 , 2 )509
( 8 , 3 )363
( 8 , 4 )358
( 8 , 5 )298
( 8 , 6 )132
( 8 , 7 )359
( 8 , 8 )0
( 8 , 9 )33
( 8 , 10 )41
( 8 , 11 )612
( 8 , 12 )609
( 8 , 13 )611
